"varve_decade"	"no_of_layers"
1	5
2	3
3	2
4	6
5	1
6	0
7	0
8	1
9	1
10	2
11	0
12	2
13	3
14	2
15	6
16	4
17	1
18	3
19	0
20	1
21	1
22	2
23	1
24	2
25	5
26	1
27	2
28	0
29	3
30	2
31	1
32	2
33	3
34	0
35	2
36	1
37	2
38	3
39	3
40	5
41	2
42	3
43	3
44	0
45	1
46	3
47	3
48	1
49	3
50	0
51	2
52	3
53	0
54	0
55	1
56	2
57	0
58	4
59	1
60	2
61	1
62	2
63	0
64	1
65	2
66	1
67	2
68	0
69	0
70	1
71	0
72	0
73	0
74	2
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	1
88	0
89	0
90	1
91	2
92	2
93	2
94	1
95	0
96	0
97	1
98	2
99	2
100	0
101	0
102	0
103	2
104	0
105	0
106	0
107	0
108	1
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	2
118	0
119	2
120	0
121	0
122	0
123	1
124	1
125	1
126	0
127	0
128	1
129	0
130	0
131	1
132	1
133	0
134	0
135	1
136	0
137	2
138	2
139	2
140	0
141	2
142	1
143	0
144	1
145	2
146	0
147	0
148	0
149	0
150	1
151	0
152	2
153	2
154	0
155	0
156	0
157	0
158	1
159	1
160	0
161	0
162	0
163	0
164	0
165	0
166	1
167	2
168	1
169	2
170	0
171	1
172	1
173	3
174	1
175	1
176	2
177	1
178	0
179	5
180	1
181	1
182	2
183	0
184	0
185	2
186	1
187	1
188	0
189	3
190	2
191	2
192	2
193	2
194	0
195	0
196	2
197	1
198	0
199	1
200	0
201	1
202	3
203	1
204	2
205	1
206	0
207	1
208	4
209	2
210	1
211	2
212	0
213	2
214	1
215	2
216	2
217	2
218	0
219	0
220	3
221	1
222	1
223	2
224	2
225	1
226	2
227	0
228	0
229	3
230	0
231	0
232	1
233	0
234	3
235	2
236	1
237	2
238	0
239	2
240	0
241	1
242	0
243	1
244	0
245	0
246	1
247	1
248	1
249	0
250	1
251	0
252	0
253	0
254	0
255	0
256	0
257	1
258	0
259	0
260	0
261	1
262	0
263	1
264	1
265	0
266	1
267	3
268	1
269	2
270	1
271	1
272	0
273	0
274	1
275	0
276	0
277	1
278	1
279	0
280	0
281	2
282	1
283	1
284	0
285	3
286	0
287	0
288	1
289	1
290	1
291	2
292	2
293	1
294	2
295	0
296	1
297	1
298	1
299	1
300	1
301	1
302	0
303	1
304	2
305	1
306	0
307	1
308	1
309	0
310	1
311	0
312	0
313	0
314	2
315	0
316	1
317	1
318	1
319	0
320	0
321	1
322	1
323	0
324	0
325	0
326	0
327	1
328	0
329	1
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	2
